Original_Diagnosis,ICD_Code,ICD_Description,Match_Score,Suggested_Alternatives,Justification
Cellulitis and abscess of trunk,K122,Cellulitis and abscess of mouth,87.09677419354838,,Fuzzy matched to: 'Cellulitis and abscess of mouth' with score 87.09677419354838
Chronic passive congestion of liver,K761,Chronic passive congestion of liver,100.0,,Fuzzy matched to: 'Chronic passive congestion of liver' with score 100.0
"Diabetes mellitus without mention of complication, type II or unspecified type, not stated as uncontrolled",A009,"Cholera, unspecified",85.5,,"Fuzzy matched to: 'Cholera, unspecified' with score 85.5"
Acute on chronic diastolic heart failure,I5033,Acute on chronic diastolic (congestive) heart failure,95.0,,Fuzzy matched to: 'Acute on chronic diastolic (congestive) heart failure' with score 95.0
"Anxiety state, unspecified",A0220,"Localized salmonella infection, unspecified",85.5,,"Fuzzy matched to: 'Localized salmonella infection, unspecified' with score 85.5"
"Migraine, unspecified, without mention of intractable migraine without mention of status migrainosus",A063,Ameboma of intestine,85.5,,Fuzzy matched to: 'Ameboma of intestine' with score 85.5
Tobacco use disorder,Z720,Tobacco use,90.0,,Fuzzy matched to: 'Tobacco use' with score 90.0
"Depressive disorder, not elsewhere classified",A0472,"Enterocolitis due to Clostridium difficile, not specified as recurrent",85.5,,"Fuzzy matched to: 'Enterocolitis due to Clostridium difficile, not specified as recurrent' with score 85.5"
Other specified alveolar and parietoalveolar pneumonopathies,A028,Other specified salmonella infections,85.5,,Fuzzy matched to: 'Other specified salmonella infections' with score 85.5
"Accidental puncture or laceration during a procedure, not elsewhere classified",A530,"Latent syphilis, unspecified as early or late",85.5,,"Fuzzy matched to: 'Latent syphilis, unspecified as early or late' with score 85.5"
Postinflammatory pulmonary fibrosis,I2602,Saddle embolus of pulmonary artery with acute cor pulmonale,85.5,,Fuzzy matched to: 'Saddle embolus of pulmonary artery with acute cor pulmonale' with score 85.5
Mitral stenosis,I050,Rheumatic mitral stenosis,86.89655172413794,,Fuzzy matched to: 'Rheumatic mitral stenosis' with score 86.89655172413794
"Encephalopathy, unspecified",G9340,"Encephalopathy, unspecified",100.0,,"Fuzzy matched to: 'Encephalopathy, unspecified' with score 100.0"
"Anemia, unspecified",D649,"Anemia, unspecified",100.0,,"Fuzzy matched to: 'Anemia, unspecified' with score 100.0"
"Other and unspecified superficial injury of hip, thigh, leg, and ankle, without mention of infection",A009,"Cholera, unspecified",85.5,,"Fuzzy matched to: 'Cholera, unspecified' with score 85.5"
Other chronic pulmonary heart diseases,A038,Other shigellosis,85.5,,Fuzzy matched to: 'Other shigellosis' with score 85.5
Diaphragmatic hernia without mention of obstruction or gangrene,K449,Diaphragmatic hernia without obstruction or gangrene,95.0,,Fuzzy matched to: 'Diaphragmatic hernia without obstruction or gangrene' with score 95.0
Dysthymic disorder,F341,Dysthymic disorder,100.0,,Fuzzy matched to: 'Dysthymic disorder' with score 100.0
"Obesity, unspecified",E669,"Obesity, unspecified",100.0,,"Fuzzy matched to: 'Obesity, unspecified' with score 100.0"
Other candidiasis of other specified sites,A038,Other shigellosis,85.5,,Fuzzy matched to: 'Other shigellosis' with score 85.5
Sprains and strains of unspecified site of knee and leg,A009,"Cholera, unspecified",85.5,,"Fuzzy matched to: 'Cholera, unspecified' with score 85.5"
"Congestive heart failure, unspecified",A009,"Cholera, unspecified",85.5,,"Fuzzy matched to: 'Cholera, unspecified' with score 85.5"
Esophageal reflux,I8500,Esophageal varices without bleeding,85.5,,Fuzzy matched to: 'Esophageal varices without bleeding' with score 85.5
"Other dependence on machines, supplemental oxygen",A038,Other shigellosis,85.5,,Fuzzy matched to: 'Other shigellosis' with score 85.5
Alkalosis,E873,Alkalosis,100.0,,Fuzzy matched to: 'Alkalosis' with score 100.0
Home accidents,,,72.0,"[{'ICD_Code': 'Z043', 'ICD_Description': 'Encounter for examination and observation following other accident', 'Score': 72.0}, {'ICD_Code': 'Z041', 'ICD_Description': 'Encounter for examination and observation following transport accident', 'Score': 70.43478260869566}, {'ICD_Code': 'Z042', 'ICD_Description': 'Encounter for examination and observation following work accident', 'Score': 70.43478260869566}]",No confident match (top score 72.0). Suggested alternatives provided.
Antineoplastic and immunosuppressive drugs causing adverse effects in therapeutic use,A09,"Infectious gastroenteritis and colitis, unspecified",85.5,,"Fuzzy matched to: 'Infectious gastroenteritis and colitis, unspecified' with score 85.5"
"Pressure ulcer, stage II",B9734,"Human T-cell lymphotrophic virus, type II [HTLV-II] as the cause of diseases classified elsewhere",85.5,,"Fuzzy matched to: 'Human T-cell lymphotrophic virus, type II [HTLV-II] as the cause of diseases classified elsewhere' with score 85.5"
Other and unspecified hyperlipidemia,A009,"Cholera, unspecified",85.5,,"Fuzzy matched to: 'Cholera, unspecified' with score 85.5"
Loss of weight,R29890,Loss of height,92.85714285714286,,Fuzzy matched to: 'Loss of height' with score 92.85714285714286
"Constipation, unspecified",K5900,"Constipation, unspecified",100.0,,"Fuzzy matched to: 'Constipation, unspecified' with score 100.0"
Other and unspecified Escherichia coli [E. coli],A009,"Cholera, unspecified",85.5,,"Fuzzy matched to: 'Cholera, unspecified' with score 85.5"
Secondary malignant neoplasm of lung,C7800,Secondary malignant neoplasm of unspecified lung,95.0,,Fuzzy matched to: 'Secondary malignant neoplasm of unspecified lung' with score 95.0
Secondary malignant neoplasm of kidney,C792,Secondary malignant neoplasm of skin,94.5945945945946,,Fuzzy matched to: 'Secondary malignant neoplasm of skin' with score 94.5945945945946
Secondary malignant neoplasm of bone and bone marrow,C7951,Secondary malignant neoplasm of bone,95.0,,Fuzzy matched to: 'Secondary malignant neoplasm of bone' with score 95.0
Hypercalcemia,E8352,Hypercalcemia,100.0,,Fuzzy matched to: 'Hypercalcemia' with score 100.0
Cerebral edema,G936,Cerebral edema,100.0,,Fuzzy matched to: 'Cerebral edema' with score 100.0
Painful respiration,R309,"Painful micturition, unspecified",85.5,,"Fuzzy matched to: 'Painful micturition, unspecified' with score 85.5"
Personal history of malignant neoplasm of other parts of uterus,Z8542,Personal history of malignant neoplasm of other parts of uterus,100.0,,Fuzzy matched to: 'Personal history of malignant neoplasm of other parts of uterus' with score 100.0
Secondary and unspecified malignant neoplasm of lymph nodes of multiple sites,C778,Secondary and unspecified malignant neoplasm of lymph nodes of multiple regions,94.87179487179486,,Fuzzy matched to: 'Secondary and unspecified malignant neoplasm of lymph nodes of multiple regions' with score 94.87179487179486
Unspecified essential hypertension,A89,Unspecified viral infection of central nervous system,85.5,,Fuzzy matched to: 'Unspecified viral infection of central nervous system' with score 85.5
"Urinary tract infection, site not specified",N390,"Urinary tract infection, site not specified",100.0,,"Fuzzy matched to: 'Urinary tract infection, site not specified' with score 100.0"
Pure hypercholesterolemia,E7800,"Pure hypercholesterolemia, unspecified",90.0,,"Fuzzy matched to: 'Pure hypercholesterolemia, unspecified' with score 90.0"
"Diabetes mellitus without mention of complication, type II or unspecified type, not stated as uncontrolled",A009,"Cholera, unspecified",85.5,,"Fuzzy matched to: 'Cholera, unspecified' with score 85.5"
"Pressure ulcer, lower back",A5400,"Gonococcal infection of lower genitourinary tract, unspecified",85.5,,"Fuzzy matched to: 'Gonococcal infection of lower genitourinary tract, unspecified' with score 85.5"
Secondary malignant neoplasm of adrenal gland,C7970,Secondary malignant neoplasm of unspecified adrenal gland,95.0,,Fuzzy matched to: 'Secondary malignant neoplasm of unspecified adrenal gland' with score 95.0
Candidiasis of mouth,A154,Tuberculosis of intrathoracic lymph nodes,85.5,,Fuzzy matched to: 'Tuberculosis of intrathoracic lymph nodes' with score 85.5
Intracerebral hemorrhage,I618,Other nontraumatic intracerebral hemorrhage,88.08510638297872,,Fuzzy matched to: 'Other nontraumatic intracerebral hemorrhage' with score 88.08510638297872
Antineoplastic chemotherapy induced anemia,D61810,Antineoplastic chemotherapy induced pancytopenia,91.11111111111111,,Fuzzy matched to: 'Antineoplastic chemotherapy induced pancytopenia' with score 91.11111111111111
"Dysphagia, unspecified",R1310,"Dysphagia, unspecified",100.0,,"Fuzzy matched to: 'Dysphagia, unspecified' with score 100.0"
"Pressure ulcer, stage III",H16009,"Unspecified corneal ulcer, unspecified eye",85.5,,"Fuzzy matched to: 'Unspecified corneal ulcer, unspecified eye' with score 85.5"
Acute laryngitis without mention of obstruction,J040,Acute laryngitis,90.0,,Fuzzy matched to: 'Acute laryngitis' with score 90.0
Secondary malignant neoplasm of brain and spinal cord,C7931,Secondary malignant neoplasm of brain,95.0,,Fuzzy matched to: 'Secondary malignant neoplasm of brain' with score 95.0
Neoplasm related pain (acute) (chronic),G893,Neoplasm related pain (acute) (chronic),100.0,,Fuzzy matched to: 'Neoplasm related pain (acute) (chronic)' with score 100.0
Encounter for palliative care,Z515,Encounter for palliative care,100.0,,Fuzzy matched to: 'Encounter for palliative care' with score 100.0
"Late effects of cerebrovascular disease, hemiplegia affecting unspecified side",A009,"Cholera, unspecified",85.5,,"Fuzzy matched to: 'Cholera, unspecified' with score 85.5"
Other malignant neoplasm without specification of site,A038,Other shigellosis,85.5,,Fuzzy matched to: 'Other shigellosis' with score 85.5
Personal history of malignant neoplasm of tongue,Z85810,Personal history of malignant neoplasm of tongue,100.0,,Fuzzy matched to: 'Personal history of malignant neoplasm of tongue' with score 100.0
Acute respiratory failure,J9600,"Acute respiratory failure, unspecified whether with hypoxia or hypercapnia",90.0,,"Fuzzy matched to: 'Acute respiratory failure, unspecified whether with hypoxia or hypercapnia' with score 90.0"
Other and unspecified coagulation defects,D688,Other specified coagulation defects,92.10526315789474,,Fuzzy matched to: 'Other specified coagulation defects' with score 92.10526315789474
"Asthma, unspecified type, unspecified",A009,"Cholera, unspecified",85.5,,"Fuzzy matched to: 'Cholera, unspecified' with score 85.5"
Tachypnea,R0682,"Tachypnea, not elsewhere classified",90.0,,"Fuzzy matched to: 'Tachypnea, not elsewhere classified' with score 90.0"
Other and unspecified hyperlipidemia,A009,"Cholera, unspecified",85.5,,"Fuzzy matched to: 'Cholera, unspecified' with score 85.5"
"Chronic kidney disease, unspecified",N189,"Chronic kidney disease, unspecified",100.0,,"Fuzzy matched to: 'Chronic kidney disease, unspecified' with score 100.0"
Other specified pre-operative examination,A038,Other shigellosis,85.5,,Fuzzy matched to: 'Other shigellosis' with score 85.5
Glucocorticoid deficiency,D500,Iron deficiency anemia secondary to blood loss (chronic),85.5,,Fuzzy matched to: 'Iron deficiency anemia secondary to blood loss (chronic)' with score 85.5
Other ascites,R188,Other ascites,100.0,,Fuzzy matched to: 'Other ascites' with score 100.0
Oliguria and anuria,A09,"Infectious gastroenteritis and colitis, unspecified",85.5,,"Fuzzy matched to: 'Infectious gastroenteritis and colitis, unspecified' with score 85.5"
Do not resuscitate status,Z66,Do not resuscitate,95.0,,Fuzzy matched to: 'Do not resuscitate' with score 95.0
Transfusion related acute lung injury (TRALI),J9584,Transfusion-related acute lung injury (TRALI),97.77777777777777,,Fuzzy matched to: 'Transfusion-related acute lung injury (TRALI)' with score 97.77777777777777
Unspecified vascular insufficiency of intestine,A063,Ameboma of intestine,85.5,,Fuzzy matched to: 'Ameboma of intestine' with score 85.5
Paralytic ileus,K560,Paralytic ileus,100.0,,Fuzzy matched to: 'Paralytic ileus' with score 100.0
"Hypotension, unspecified",I959,"Hypotension, unspecified",100.0,,"Fuzzy matched to: 'Hypotension, unspecified' with score 100.0"
Paroxysmal ventricular tachycardia,D595,Paroxysmal nocturnal hemoglobinuria [Marchiafava-Micheli],85.5,,Fuzzy matched to: 'Paroxysmal nocturnal hemoglobinuria [Marchiafava-Micheli]' with score 85.5
Pulmonary congestion and hypostasis,A212,Pulmonary tularemia,85.5,,Fuzzy matched to: 'Pulmonary tularemia' with score 85.5
"Jaundice, unspecified, not of newborn",A0472,"Enterocolitis due to Clostridium difficile, not specified as recurrent",85.5,,"Fuzzy matched to: 'Enterocolitis due to Clostridium difficile, not specified as recurrent' with score 85.5"
Cirrhosis of liver without mention of alcohol,A063,Ameboma of intestine,85.5,,Fuzzy matched to: 'Ameboma of intestine' with score 85.5
"Anemia, unspecified",D649,"Anemia, unspecified",100.0,,"Fuzzy matched to: 'Anemia, unspecified' with score 100.0"
Altered mental status,R4182,"Altered mental status, unspecified",90.0,,"Fuzzy matched to: 'Altered mental status, unspecified' with score 90.0"
"Acute kidney failure, unspecified",N179,"Acute kidney failure, unspecified",100.0,,"Fuzzy matched to: 'Acute kidney failure, unspecified' with score 100.0"
Other specified disorders of stomach and duodenum,H278,Other specified disorders of lens,87.21311475409836,,Fuzzy matched to: 'Other specified disorders of lens' with score 87.21311475409836
Cachexia,R64,Cachexia,100.0,,Fuzzy matched to: 'Cachexia' with score 100.0
Epistaxis,R040,Epistaxis,100.0,,Fuzzy matched to: 'Epistaxis' with score 100.0
Encounter for palliative care,Z515,Encounter for palliative care,100.0,,Fuzzy matched to: 'Encounter for palliative care' with score 100.0
"Diabetes mellitus without mention of complication, type II or unspecified type, uncontrolled",A009,"Cholera, unspecified",85.5,,"Fuzzy matched to: 'Cholera, unspecified' with score 85.5"
Hyperpotassemia,,,74.07407407407408,"[{'ICD_Code': 'E875', 'ICD_Description': 'Hyperkalemia', 'Score': 74.07407407407408}, {'ICD_Code': 'E8341', 'ICD_Description': 'Hypermagnesemia', 'Score': 73.33333333333334}, {'ICD_Code': 'E221', 'ICD_Description': 'Hyperprolactinemia', 'Score': 72.72727272727273}]",No confident match (top score 74.07407407407408). Suggested alternatives provided.
Spontaneous bacterial peritonitis,K652,Spontaneous bacterial peritonitis,100.0,,Fuzzy matched to: 'Spontaneous bacterial peritonitis' with score 100.0
"Other disorders of muscle, ligament, and fascia",A038,Other shigellosis,85.5,,Fuzzy matched to: 'Other shigellosis' with score 85.5
Hyposmolality and/or hyponatremia,E871,Hypo-osmolality and hyponatremia,92.3076923076923,,Fuzzy matched to: 'Hypo-osmolality and hyponatremia' with score 92.3076923076923
Esophageal varices without mention of bleeding,I8500,Esophageal varices without bleeding,95.0,,Fuzzy matched to: 'Esophageal varices without bleeding' with score 95.0
Other fluid overload,E8779,Other fluid overload,100.0,,Fuzzy matched to: 'Other fluid overload' with score 100.0
Acquired hypertrophic pyloric stenosis,K311,Adult hypertrophic pyloric stenosis,87.67123287671232,,Fuzzy matched to: 'Adult hypertrophic pyloric stenosis' with score 87.67123287671232
"Hypertensive chronic kidney disease, unspecified, with chronic kidney disease stage I through stage IV, or unspecified",I129,"Hypertensive chronic kidney disease with stage 1 through stage 4 chronic kidney disease, or unspecified chronic kidney disease",92.625,,"Fuzzy matched to: 'Hypertensive chronic kidney disease with stage 1 through stage 4 chronic kidney disease, or unspecified chronic kidney disease' with score 92.625"
Portal hypertension,K766,Portal hypertension,100.0,,Fuzzy matched to: 'Portal hypertension' with score 100.0
Natural blood and blood products causing adverse effects in therapeutic use,A155,"Tuberculosis of larynx, trachea and bronchus",85.5,,"Fuzzy matched to: 'Tuberculosis of larynx, trachea and bronchus' with score 85.5"
"Retention of urine, unspecified",R339,"Retention of urine, unspecified",100.0,,"Fuzzy matched to: 'Retention of urine, unspecified' with score 100.0"
Overflow incontinence,N39490,Overflow incontinence,100.0,,Fuzzy matched to: 'Overflow incontinence' with score 100.0
"Other specified procedures as the cause of abnormal reaction of patient, or of later complication, without mention of misadventure at time of procedure",Y848,"Other medical procedures as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure",92.3076923076923,,"Fuzzy matched to: 'Other medical procedures as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure' with score 92.3076923076923"
"Thrombocytopenia, unspecified",D696,"Thrombocytopenia, unspecified",100.0,,"Fuzzy matched to: 'Thrombocytopenia, unspecified' with score 100.0"
Persistent postoperative fistula,F349,"Persistent mood [affective] disorder, unspecified",85.5,,"Fuzzy matched to: 'Persistent mood [affective] disorder, unspecified' with score 85.5"
"Gastric ulcer, unspecified as acute or chronic, without mention of hemorrhage or perforation, without mention of obstruction",A009,"Cholera, unspecified",85.5,,"Fuzzy matched to: 'Cholera, unspecified' with score 85.5"
Other and unspecified hyperlipidemia,A009,"Cholera, unspecified",85.5,,"Fuzzy matched to: 'Cholera, unspecified' with score 85.5"
Hypopotassemia,,,72.0,"[{'ICD_Code': 'E861', 'ICD_Description': 'Hypovolemia', 'Score': 72.0}, {'ICD_Code': 'E876', 'ICD_Description': 'Hypokalemia', 'Score': 72.0}, {'ICD_Code': 'E8342', 'ICD_Description': 'Hypomagnesemia', 'Score': 71.42857142857143}]",No confident match (top score 72.0). Suggested alternatives provided.
Other postoperative infection,A038,Other shigellosis,85.5,,Fuzzy matched to: 'Other shigellosis' with score 85.5
Unspecified protein-calorie malnutrition,E46,Unspecified protein-calorie malnutrition,100.0,,Fuzzy matched to: 'Unspecified protein-calorie malnutrition' with score 100.0
Long-term (current) use of aspirin,Z7982,Long term (current) use of aspirin,97.05882352941177,,Fuzzy matched to: 'Long term (current) use of aspirin' with score 97.05882352941177
Acute esophagitis,A0811,Acute gastroenteropathy due to Norwalk agent,85.5,,Fuzzy matched to: 'Acute gastroenteropathy due to Norwalk agent' with score 85.5
Mitral valve disorders,I3489,Other nonrheumatic mitral valve disorders,87.90697674418604,,Fuzzy matched to: 'Other nonrheumatic mitral valve disorders' with score 87.90697674418604
Unspecified septicemia,A64,Unspecified sexually transmitted disease,85.5,,Fuzzy matched to: 'Unspecified sexually transmitted disease' with score 85.5
Atrial fibrillation,I480,Paroxysmal atrial fibrillation,87.56756756756758,,Fuzzy matched to: 'Paroxysmal atrial fibrillation' with score 87.56756756756758
Delirium due to conditions classified elsewhere,A414,Sepsis due to anaerobes,85.5,,Fuzzy matched to: 'Sepsis due to anaerobes' with score 85.5
"Disruption of wound, unspecified",A009,"Cholera, unspecified",85.5,,"Fuzzy matched to: 'Cholera, unspecified' with score 85.5"
Attention to ileostomy,Z432,Encounter for attention to ileostomy,87.90697674418604,,Fuzzy matched to: 'Encounter for attention to ileostomy' with score 87.90697674418604
Accidents occurring in residential institution,B5732,Megacolon in Chagas' disease,85.5,,Fuzzy matched to: 'Megacolon in Chagas' disease' with score 85.5
Abnormal coagulation profile,R791,Abnormal coagulation profile,100.0,,Fuzzy matched to: 'Abnormal coagulation profile' with score 100.0
Chronic combined systolic and diastolic heart failure,I5042,Chronic combined systolic (congestive) and diastolic (congestive) heart failure,95.0,,Fuzzy matched to: 'Chronic combined systolic (congestive) and diastolic (congestive) heart failure' with score 95.0
Other ascites,R188,Other ascites,100.0,,Fuzzy matched to: 'Other ascites' with score 100.0
"Tachycardia, unspecified",R000,"Tachycardia, unspecified",100.0,,"Fuzzy matched to: 'Tachycardia, unspecified' with score 100.0"
Dysarthria,I69022,Dysarthria following nontraumatic subarachnoid hemorrhage,90.0,,Fuzzy matched to: 'Dysarthria following nontraumatic subarachnoid hemorrhage' with score 90.0
Acquired absence of intestine (large) (small),A063,Ameboma of intestine,85.5,,Fuzzy matched to: 'Ameboma of intestine' with score 85.5
Encounter for removal of sutures,Z4802,Encounter for removal of sutures,100.0,,Fuzzy matched to: 'Encounter for removal of sutures' with score 100.0
"Dementia, unspecified, without behavioral disturbance",B019,Varicella without complication,85.5,,Fuzzy matched to: 'Varicella without complication' with score 85.5
Septic shock,R6520,Severe sepsis without septic shock,86.08695652173914,,Fuzzy matched to: 'Severe sepsis without septic shock' with score 86.08695652173914
Acidosis,E8720,"Acidosis, unspecified",90.0,,"Fuzzy matched to: 'Acidosis, unspecified' with score 90.0"
Unspecified essential hypertension,A89,Unspecified viral infection of central nervous system,85.5,,Fuzzy matched to: 'Unspecified viral infection of central nervous system' with score 85.5
Other premature beats,A028,Other specified salmonella infections,85.5,,Fuzzy matched to: 'Other specified salmonella infections' with score 85.5
Other ventral hernia without mention of obstruction or gangrene,K439,Ventral hernia without obstruction or gangrene,85.95238095238095,,Fuzzy matched to: 'Ventral hernia without obstruction or gangrene' with score 85.95238095238095
Coronary atherosclerosis of native coronary artery,A063,Ameboma of intestine,85.5,,Fuzzy matched to: 'Ameboma of intestine' with score 85.5
Severe sepsis,R6520,Severe sepsis without septic shock,90.0,,Fuzzy matched to: 'Severe sepsis without septic shock' with score 90.0
"Urinary tract infection, site not specified",N390,"Urinary tract infection, site not specified",100.0,,"Fuzzy matched to: 'Urinary tract infection, site not specified' with score 100.0"
Pure hypercholesterolemia,E7800,"Pure hypercholesterolemia, unspecified",90.0,,"Fuzzy matched to: 'Pure hypercholesterolemia, unspecified' with score 90.0"
Unspecified vascular insufficiency of intestine,A063,Ameboma of intestine,85.5,,Fuzzy matched to: 'Ameboma of intestine' with score 85.5
Acute on chronic diastolic heart failure,I5033,Acute on chronic diastolic (congestive) heart failure,95.0,,Fuzzy matched to: 'Acute on chronic diastolic (congestive) heart failure' with score 95.0
"Fistula of intestine, excluding rectum and anus",K632,Fistula of intestine,90.0,,Fuzzy matched to: 'Fistula of intestine' with score 90.0
Acute kidney failure with lesion of tubular necrosis,N170,Acute kidney failure with tubular necrosis,95.0,,Fuzzy matched to: 'Acute kidney failure with tubular necrosis' with score 95.0
Candidiasis of mouth,A154,Tuberculosis of intrathoracic lymph nodes,85.5,,Fuzzy matched to: 'Tuberculosis of intrathoracic lymph nodes' with score 85.5
Pulmonary collapse,A310,Pulmonary mycobacterial infection,85.5,,Fuzzy matched to: 'Pulmonary mycobacterial infection' with score 85.5
Paroxysmal ventricular tachycardia,D595,Paroxysmal nocturnal hemoglobinuria [Marchiafava-Micheli],85.5,,Fuzzy matched to: 'Paroxysmal nocturnal hemoglobinuria [Marchiafava-Micheli]' with score 85.5
"Late effects of cerebrovascular disease, cognitive deficits",A063,Ameboma of intestine,85.5,,Fuzzy matched to: 'Ameboma of intestine' with score 85.5
Pulmonary congestion and hypostasis,A212,Pulmonary tularemia,85.5,,Fuzzy matched to: 'Pulmonary tularemia' with score 85.5
Acute vascular insufficiency of intestine,A060,Acute amebic dysentery,85.5,,Fuzzy matched to: 'Acute amebic dysentery' with score 85.5
"Encephalopathy, unspecified",G9340,"Encephalopathy, unspecified",100.0,,"Fuzzy matched to: 'Encephalopathy, unspecified' with score 100.0"
